,,,,,,,,
"
",,,,,,,,
Select filter criteria below:,,,,,,,,
Start Date:,03/01/2014 ,Start Time:,12:00 AM ,Building:,All ,,,
 End Date:,03/31/2014 ,End Time:,11:59 PM,Room:,All,,,
,,,,,,,,
,,,,,,,,
Name,Building,Room,Days met,Start Date,End Date,Start Time,End Time,
Teaching Physical Education  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,06:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,03:30 PM ,06:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,03:30 PM ,05:30 PM ,
Teaching English Language Arts in Second  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:30 PM ,06:00 PM ,
Teaching English to Speakers of Other La  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,03:30 PM ,06:00 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,03:30 PM ,06:30 PM ,
Assessment and Instruction for Diverse E  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:30 PM ,
Culture Learning in Schools: Latino  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:00 PM ,07:00 PM ,
Guided Practice  ,ATT ,603,T ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:30 PM ,
Human Differences  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:00 PM ,
Multimedia Literacy  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:00 PM ,
Practicum in Teaching English as a Secon  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:00 PM ,
Practicum in TeachingEnglish as a Second  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:00 PM ,
Teaching English Language Arts in Second  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:00 PM ,07:30 PM ,
Teaching English to Speakers of Other La  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:30 PM ,
